"Ozone","Solar.R","Wind","Temp","Month","Day","RealFeel","WindchillTemp"
"1",41,190,7.4,67,5,1,80.0719245179789,67.5902463570593
"2",36,118,8,72,5,2,80.8230128671274,73.5561239782385
"3",12,149,12.6,74,5,3,71.2799986373951,75.5589543896075
"4",18,313,11.5,62,5,4,64.762416567198,60.6077188927794
"5",NA,NA,14.3,56,5,5,NA,52.4679446037938
"6",28,NA,14.9,66,5,6,NA,65.1500468213849
"7",23,299,8.6,65,5,7,73.8892885250584,64.9026003530154
"8",19,99,13.8,59,5,8,52.0006640010766,56.3868992951942
"9",8,19,20.1,61,5,9,42.9240804223047,58.0182199571884
"10",NA,194,8.6,69,5,10,NA,69.801370010327
"11",7,NA,6.9,74,5,11,NA,76.1258699430898
"12",16,256,9.7,69,5,12,73.2542719437258,69.6298252432182
"13",11,290,9.2,66,5,13,69.7228656863432,66.0119490196765
"14",14,274,10.9,68,5,14,70.3814390128161,68.2124055199932
"15",18,65,13.2,58,5,15,49.9681588680474,55.2329519714956
"16",14,334,11.5,64,5,16,66.5609358042639,63.1145171996127
"17",34,307,12,66,5,17,74.4953960221169,65.5452142039351
"18",6,78,18.4,57,5,18,39.907236948669,53.0267017374014
"19",30,322,11.5,68,5,19,76.7518347435118,68.1281138132792
"20",11,44,9.7,62,5,20,55.3263273261983,60.9748755495485
"21",1,8,9.7,59,5,21,46.8578753545095,57.2656113951186
"22",11,320,16.6,73,5,22,70.3680241148532,73.9889714832743
"23",4,25,9.7,61,5,23,50.978779037835,59.7384541647385
"24",32,92,12,61,5,24,60.6699030375,59.2566303102273
"25",NA,66,16.6,57,5,25,NA,53.3230309099328
"26",NA,266,14.9,58,5,26,NA,54.9089532751522
"27",NA,NA,8,57,5,27,NA,55.2898302177665
"28",23,13,12,67,5,28,62.5705673463131,66.8029309826767
"29",45,252,14.9,81,5,29,92.4164345699688,84.3520972205713
"30",115,223,5.7,79,5,30,123.948674136851,82.2259989776156
"31",37,279,7.4,76,5,31,93.1536381947015,78.483500263667
"32",NA,286,8.6,78,6,1,NA,80.8236017392781
"33",NA,287,9.7,74,6,2,NA,75.8119321672679
"34",NA,242,16.1,67,6,3,NA,66.2936286387072
"35",NA,186,9.2,84,6,4,NA,88.1742054620905
"36",NA,220,8.6,85,6,5,NA,89.3964486395734
"37",NA,264,14.3,79,6,6,NA,81.8117938572398
"38",29,127,9.7,82,6,7,89.2679936010775,85.7033032457476
"39",NA,273,6.9,87,6,8,NA,91.7753602933397
"40",71,291,13.8,90,6,9,115.178948860269,95.8221253308569
"41",39,323,11.5,87,6,10,103.730976797963,91.9426977281953
"42",NA,259,10.9,93,6,11,NA,99.4125239339263
"43",NA,250,9.2,92,6,12,NA,98.0240972142745
"44",23,148,8,82,6,13,89.643208707442,85.7336531518865
"45",NA,332,13.8,80,6,14,NA,83.1010846741915
"46",NA,322,11.5,79,6,15,NA,81.9155045008622
"47",21,191,14.9,77,6,16,77.2290283591015,79.2315504474549
"48",37,284,20.7,72,6,17,73.0288618600511,72.4172918274778
"49",20,37,9.2,65,6,18,62.3996708839868,64.7807125506535
"50",12,120,11.5,73,6,19,70.1780863245485,74.3951095803624
"51",13,137,10.3,76,6,20,76.0276658920809,78.2395279610464
"52",NA,150,6.3,77,6,21,NA,79.7930421690641
"53",NA,59,1.7,76,6,22,NA,79.4251354205693
"54",NA,91,4.6,76,6,23,NA,78.8124141984162
"55",NA,250,6.3,76,6,24,NA,78.5976495926387
"56",NA,135,8,75,6,25,NA,77.2093827303329
"57",NA,127,8,78,6,26,NA,80.8626414824273
"58",NA,47,10.3,73,6,27,NA,74.5124634242495
"59",NA,98,11.5,80,6,28,NA,83.1689036542789
"60",NA,31,14.9,77,6,29,NA,79.2315504474549
"61",NA,138,8,83,6,30,NA,86.9514060692513
"62",135,269,4.1,84,7,1,141.36113348606,88.1465235569821
"63",49,248,9.2,85,7,2,104.80910859778,89.4054419311135
"64",32,236,9.2,81,7,3,93.5306627216882,84.4804960550215
"65",NA,101,10.9,84,7,4,NA,88.1804813049103
"66",64,175,4.6,83,7,5,110.175431142363,86.983020183459
"67",40,314,10.9,83,7,6,99.4892229798363,86.932476568353
"68",77,276,5.1,88,7,7,124.629607312494,92.8589053257389
"69",97,267,6.3,92,7,8,134.286188484158,97.7239308154459
"70",97,272,5.7,92,7,9,135.290973192496,97.6475846574645
"71",85,175,7.4,89,7,10,121.408430236047,94.2182003509893
"72",NA,139,8.6,82,7,11,NA,85.7223713965897
"73",10,264,14.3,73,7,12,70.9818149322936,74.1568766606887
"74",27,175,14.9,81,7,13,83.9877759354307,84.3520972205713
"75",NA,291,14.9,91,7,14,NA,97.1534641533622
"76",7,48,14.3,80,7,15,72.6463294393811,83.0876133899984
"77",48,260,6.9,81,7,16,102.945749362455,84.5525185932244
"78",35,274,10.3,82,7,17,95.8619328967092,85.6936570346403
"79",61,285,6.3,84,7,18,112.968054007723,88.1607902040423
"80",79,187,5.1,87,7,19,120.023465579874,91.6825914076889
"81",63,220,11.5,85,7,20,106.222690119036,89.4358994213621
"82",16,7,6.9,74,7,21,72.9038107714922,76.1258699430898
"83",NA,258,9.7,81,7,22,NA,84.4668818609376
"84",NA,295,11.5,82,7,23,NA,85.6757019611121
"85",80,294,8.6,86,7,24,119.255657182934,90.6211410539013
"86",108,223,8,85,7,25,125.793134126203,89.3869119039809
"87",20,81,8.6,82,7,26,85.4607584933639,85.7223713965897
"88",52,82,12,86,7,27,98.7546406878574,90.6995497787665
"89",82,213,7.4,88,7,28,120.682804323052,93.0078388058106
"90",50,275,7.4,86,7,29,109.620334106258,90.5871157154534
"91",64,253,7.4,83,7,30,109.976191999458,86.9560310799175
"92",59,254,9.2,81,7,31,103.582912721688,84.4804960550215
"93",39,83,6.9,81,8,1,92.4823884157096,84.5525185932244
"94",9,24,13.8,81,8,2,74.3010710927992,84.3731887398581
"95",16,77,7.4,82,8,3,84.9813706841641,85.7456695347388
"96",78,NA,6.9,86,8,4,NA,90.5715533433205
"97",35,NA,7.4,85,8,5,NA,89.3767541702747
"98",66,NA,4.6,87,8,6,NA,91.6519378891977
"99",122,255,4,89,8,7,142.077539436101,93.9215394361015
"100",89,229,10.3,90,8,8,123.04104752357,95.6324957994321
"101",110,207,8,90,8,9,131.955676490805,95.4756764908049
"102",NA,222,8.6,92,8,10,NA,97.9692955398688
"103",NA,137,11.5,86,8,11,NA,90.6892985747787
"104",44,192,11.5,86,8,12,99.9524613654764,90.6892985747787
"105",28,273,11.5,82,8,13,92.0080740541354,85.6757019611121
"106",65,157,9.7,80,8,14,100.389140679173,83.2304604761277
"107",NA,64,11.5,79,8,15,NA,81.9155045008622
"108",22,71,10.3,77,8,16,78.1261586687144,79.4818828066454
"109",59,51,6.3,79,8,17,96.2460113709948,82.183827321915
"110",23,115,7.4,76,8,18,81.6839370452762,78.483500263667
"111",31,244,10.9,78,8,19,87.7727016893942,80.6924528855664
"112",44,190,10.3,78,8,20,91.1279617901754,80.7242376522444
"113",21,259,15.5,77,8,21,78.5217017592777,79.2038978377091
"114",9,36,14.3,72,8,22,62.7900941649672,72.8810571279302
"115",NA,255,12.6,75,8,23,NA,76.8216571838828
"116",45,212,9.7,79,8,24,94.1470340151756,81.9940390913177
"117",168,238,3.4,81,8,25,148.983051897229,84.716216076333
"118",73,215,8,86,8,26,114.519775932457,90.6046648213457
"119",NA,153,5.7,88,8,27,NA,92.9024813713572
"120",76,203,9.7,97,8,28,126.87082198744,104.249624017897
"121",118,225,2.3,94,8,29,147.237101756384,99.2282237076039
"122",84,237,6.3,96,8,30,133.255415231577,102.505501121148
"123",85,188,6.3,94,8,31,129.108335600199,100.114715968297
"124",96,167,6.9,91,9,1,127.83574785673,96.5905880934166
"125",78,197,5.1,92,9,2,126.020611329064,97.5641609979385
"126",73,183,2.8,93,9,3,127.466497493537,98.2646849935368
"127",91,189,4.6,93,9,4,131.914958283422,98.6553144478058
"128",47,95,7.4,87,9,5,102.545316341092,91.797477260632
"129",32,92,15.5,84,9,6,86.7555595150428,88.1940693189644
"130",20,252,10.9,80,9,7,86.7086537462409,83.1884623586811
"131",23,220,10.3,78,9,8,84.8544445487961,80.7242376522444
"132",21,230,10.9,75,9,9,80.0797879581911,76.9484386758944
"133",24,259,9.7,73,9,10,81.0905564677372,74.575510782458
"134",44,236,14.9,81,9,11,91.6186353731817,84.3520972205713
"135",21,259,15.5,76,9,12,77.2373915476698,77.9195876261012
"136",28,238,6.3,77,9,13,91.0979010647696,79.7930421690641
"137",9,24,10.9,71,9,14,64.0122474808613,71.9564197296651
"138",13,112,11.5,71,9,15,67.7588229014361,71.8883112735292
"139",46,237,6.9,78,9,16,97.685665790504,80.9410977431667
"140",18,224,13.8,67,9,17,65.5059671146442,66.5637318205265
"141",13,27,10.3,76,9,18,72.234562443805,78.2395279610464
"142",24,238,10.3,68,9,19,73.3995857479787,68.3006891962546
"143",16,201,8,82,9,20,89.2683198185531,85.7336531518865
"144",13,238,12.6,64,9,21,61.7576078627838,62.9319264468546
"145",23,14,9.2,71,9,22,69.9925480314582,72.1681313647915
"146",36,139,10.3,81,9,23,90.3124056373171,84.4513021890413
"147",7,49,10.3,69,9,24,62.2086992142674,69.5430440418536
"148",14,20,16.6,63,9,25,50.6010744144096,61.0727586249359
"149",30,193,6.9,70,9,26,80.6647249832496,71.310642143013
"150",NA,145,13.2,77,9,27,NA,79.3153228169111
"151",14,191,14.3,75,9,28,72.8225733393745,76.7085157262057
"152",18,131,8,76,9,29,79.9355800921421,78.4271356476977
"153",20,223,11.5,68,9,30,70.0485789295583,68.1281138132792
